Time,accX,accY,accZ
38.642807999999995,-52.0,61.0,1012.0
38.649471999999996,-51.0,66.0,1010.0
38.656136,-52.0,69.0,1008.0
38.662808,-52.0,69.0,1017.0
38.669472,-53.0,65.0,1015.0
38.676136,-56.0,64.0,1022.0
38.682795999999996,-59.0,67.0,1016.0
38.689468,-54.0,64.0,1025.0
38.696132,-57.0,72.0,1031.0
38.702799999999996,-51.0,67.0,1039.0
38.709464,-52.0,67.0,1037.0
38.716132,-51.0,63.0,1038.0
38.722792,-51.0,70.0,1037.0
38.729468,-52.0,67.0,1035.0
38.736124,-56.0,71.0,1036.0
38.742796,-53.0,63.0,1031.0
38.749455999999995,-52.0,67.0,1027.0
38.756128,-54.0,72.0,1030.0
38.762788,-50.0,70.0,1021.0
38.769459999999995,-53.0,66.0,1029.0
38.776123999999996,-53.0,62.0,1015.0
38.782792,-49.0,64.0,1013.0
38.789456,-44.0,70.0,1013.0
38.796127999999996,-51.0,61.0,1002.0
38.802788,-57.0,68.0,1008.0
38.80946,-53.0,73.0,1004.0
38.816123999999995,-49.0,63.0,1009.0
38.822787999999996,-51.0,69.0,1002.0
38.829456,-49.0,62.0,1007.0
38.83612,-49.0,63.0,1002.0
38.842788,-48.0,67.0,996.0
38.849452,-48.0,65.0,1006.0
38.85612,-45.0,64.0,1004.0
38.862784,-49.0,68.0,1007.0
38.869451999999995,-54.0,68.0,1009.0
38.876115999999996,-54.0,65.0,1013.0
38.882784,-53.0,62.0,1017.0
38.889448,-50.0,65.0,1019.0
38.896116,-56.0,63.0,1016.0
38.90278,-49.0,68.0,1028.0
38.909448,-56.0,68.0,1034.0
38.916112,-55.0,71.0,1039.0
38.922779999999996,-53.0,70.0,1036.0
38.929444,-56.0,71.0,1035.0
38.936112,-56.0,62.0,1030.0
38.942775999999995,-51.0,71.0,1035.0
38.949444,-54.0,63.0,1034.0
38.956108,-54.0,65.0,1034.0
38.962776,-56.0,65.0,1035.0
38.969443999999996,-52.0,73.0,1024.0
38.976107999999996,-52.0,68.0,1026.0
38.982776,-56.0,69.0,1028.0
38.98944,-50.0,68.0,1031.0
38.996103999999995,-50.0,69.0,1021.0
39.002772,-47.0,60.0,1019.0
39.009436,-50.0,71.0,1014.0
39.016104,-47.0,74.0,1010.0
39.022763999999995,-49.0,62.0,1002.0
39.029436,-50.0,61.0,1001.0
39.036096,-46.0,65.0,998.0
39.042767999999995,-53.0,63.0,1002.0
39.049428,-48.0,64.0,999.0
39.0561,-49.0,65.0,1002.0
39.06276,-51.0,68.0,1009.0
39.069432,-49.0,63.0,1006.0
39.076091999999996,-54.0,67.0,1004.0
39.082764,-53.0,65.0,1010.0
39.089424,-48.0,67.0,1017.0
39.096095999999996,-49.0,63.0,1007.0
39.102756,-53.0,65.0,1022.0
39.109428,-52.0,60.0,1027.0
39.116088,-51.0,70.0,1025.0
39.12276,-55.0,65.0,1032.0
39.129419999999996,-53.0,71.0,1031.0
39.136092,-51.0,68.0,1033.0
39.142756,-53.0,74.0,1030.0
39.149423999999996,-55.0,70.0,1030.0
39.156092,-55.0,69.0,1035.0
39.162756,-54.0,71.0,1034.0
39.169424,-53.0,67.0,1036.0
39.176088,-52.0,71.0,1028.0
