"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
2.127075190E-1,-5.031692505E0,3.234558105E0,-1.060211182E0,6.074894514E0
2.150878900E-1,-5.029235840E0,3.161865234E0,-1.069992065E0,6.036181567E0
2.174987790E-1,-5.026794434E0,3.084899902E0,-1.079162598E0,5.995820344E0
2.198791500E-1,-5.024353027E0,2.999984741E0,-1.088943481E0,5.952296170E0
2.222595210E-1,-5.021316528E0,2.909576416E0,-1.096267700E0,5.906018749E0
2.246704100E-1,-5.017028809E0,2.816116333E0,-1.102981567E0,5.858127483E0
2.270507810E-1,-5.013977051E0,2.715942383E0,-1.109710693E0,5.809282806E0
2.294311520E-1,-5.009094238E0,2.614532471E0,-1.113983154E0,5.759146082E0
2.318420410E-1,-5.004211426E0,2.507019043E0,-1.116424561E0,5.707335655E0
2.342224120E-1,-4.997482300E0,2.398880005E0,-1.118865967E0,5.655202531E0
2.366027830E-1,-4.990768433E0,2.287094116E0,-1.118865967E0,5.602716314E0
2.390136720E-1,-4.984039307E0,2.171646118E0,-1.118255615E0,5.550422533E0
2.413940430E-1,-4.977325439E0,2.058639526E0,-1.110931396E0,5.499630333E0
2.437744140E-1,-4.970001221E0,1.943786621E0,-1.106643677E0,5.450126493E0
2.461853020E-1,-4.962051392E0,1.829559326E0,-1.101150513E0,5.402015716E0
2.485656730E-1,-4.952880859E0,1.718383789E0,-1.093826294E0,5.355401723E0
2.509460450E-1,-4.941284180E0,1.607208252E0,-1.084045410E0,5.307971567E0
2.533569330E-1,-4.928451538E0,1.498458862E0,-1.076721191E0,5.262541406E0
2.557373040E-1,-4.915008545E0,1.394622803E0,-1.068771362E0,5.219631595E0
2.581176750E-1,-4.898529053E0,1.293212891E0,-1.060211182E0,5.176102222E0
2.605285640E-1,-4.880203247E0,1.198532104E0,-1.048614502E0,5.133464260E0
2.629089350E-1,-4.858810425E0,1.109344482E0,-1.037002563E0,5.090585255E0
2.652893060E-1,-4.834381104E0,1.023818970E0,-1.024185181E0,5.046622754E0
2.677001950E-1,-4.812393188E0,9.468536377E-1,-1.006469727E0,5.006859427E0
2.700805660E-1,-4.786117554E0,8.735504150E-1,-9.850769043E-1,4.963908548E0
2.724609370E-1,-4.758636475E0,8.069610596E-1,-9.624786377E-1,4.921602623E0
2.748413080E-1,-4.727478027E0,7.495422363E-1,-9.337615967E-1,4.876758430E0
2.772521970E-1,-4.695709229E0,6.951751709E-1,-9.038391113E-1,4.832171232E0
2.796325680E-1,-4.660278320E0,6.463012695E-1,-8.690185547E-1,4.784463669E0
2.820129390E-1,-4.625457764E0,6.029357910E-1,-8.335876465E-1,4.738487043E0
2.844238280E-1,-4.590026855E0,5.681152344E-1,-7.963256836E-1,4.693105161E0
2.868041990E-1,-4.547882080E0,5.387878418E-1,-7.578430176E-1,4.641966156E0
2.891845700E-1,-4.506958008E0,5.143585205E-1,-7.211914062E-1,4.593185411E0
2.915954590E-1,-4.462356567E0,4.972534180E-1,-6.863708496E-1,4.542135185E0
2.939758300E-1,-4.416549683E0,4.868621826E-1,-6.527709961E-1,4.490997201E0
2.963562010E-1,-4.369506836E0,4.801483154E-1,-6.216278076E-1,4.439544293E0
2.987670890E-1,-4.319412231E0,4.795379639E-1,-5.959625244E-1,4.386621709E0
3.011474610E-1,-4.267486572E0,4.880981445E-1,-5.696868896E-1,4.332923331E0
3.035278320E-1,-4.213729858E0,5.009155273E-1,-5.428161621E-1,4.277976750E0
3.059387200E-1,-4.158142090E0,5.180206299E-1,-5.202178955E-1,4.222453987E0
3.083190910E-1,-4.102554321E0,5.430603027E-1,-4.994354248E-1,4.168369249E0
3.106994630E-1,-4.044525146E0,5.723876953E-1,-4.798889160E-1,4.112919244E0
3.131103510E-1,-3.982818604E0,6.047668457E-1,-4.621887207E-1,4.054898936E0
3.154907220E-1,-3.921127319E0,6.420288086E-1,-4.450836182E-1,3.998192076E0
3.178710930E-1,-3.857589722E0,6.829528809E-1,-4.285736084E-1,3.940951463E0
3.202819820E-1,-3.793457031E0,7.275543213E-1,-4.145355225E-1,3.884776858E0
3.226623530E-1,-3.728088379E0,7.733612061E-1,-4.010925293E-1,3.828525269E0
3.250427240E-1,-3.660903931E0,8.228454590E-1,-3.894805908E-1,3.772398093E0
3.274536130E-1,-3.593704224E0,8.747711182E-1,-3.784942627E-1,3.717955414E0
3.298339840E-1,-3.523452759E0,9.297485352E-1,-3.681030273E-1,3.662601742E0
3.322143550E-1,-3.452590942E0,9.853363037E-1,-3.589477539E-1,3.608339693E0
3.346252440E-1,-3.382339478E0,1.042755127E0,-3.552856445E-1,3.557216115E0
3.370056150E-1,-3.307815552E0,1.102005005E0,-3.509979248E-1,3.504177264E0
3.393859860E-1,-3.230239868E0,1.158218384E0,-3.473358154E-1,3.449139255E0
3.417968750E-1,-3.156936646E0,1.216247559E0,-3.461151123E-1,3.400779731E0
3.441772460E-1,-3.079345703E0,1.274887085E0,-3.424530029E-1,3.350370293E0
3.465576170E-1,-3.001770020E0,1.332321167E0,-3.387756348E-1,3.301586266E0
3.489685060E-1,-2.922363281E0,1.387893677E0,-3.302307129E-1,3.252000666E0
3.513488770E-1,-2.844161987E0,1.441650391E0,-3.228912354E-1,3.204976132E0
3.537292480E-1,-2.764144897E0,1.492965698E0,-3.149566650E-1,3.157315520E0
3.561096190E-1,-2.682281494E0,1.539398193E0,-3.015289307E-1,3.107297943E0
3.585205070E-1,-2.601638794E0,1.583374023E0,-2.899169922E-1,3.059354438E0
3.609008790E-1,-2.521011353E0,1.620651245E0,-2.770843506E-1,3.009781460E0
3.632812500E-1,-2.440383911E0,1.653625488E0,-2.636413574E-1,2.959638095E0
3.656921380E-1,-2.359741211E0,1.682342529E0,-2.520446777E-1,2.908982896E0
3.680725090E-1,-2.279098511E0,1.704330444E0,-2.398223877E-1,2.855966923E0
3.704528810E-1,-2.197250366E0,1.719604492E0,-2.294311523E-1,2.799569152E0
3.728637690E-1,-2.116622925E0,1.729370117E0,-2.178344727E-1,2.741945562E0
3.752441400E-1,-2.035980225E0,1.733657837E0,-2.104949951E-1,2.682367073E0
3.776245110E-1,-1.955963135E0,1.729980469E0,-2.037811279E-1,2.619188988E0
3.800354000E-1,-1.874099731E0,1.722045898E0,-1.982879639E-1,2.552843512E0
3.824157710E-1,-1.793457031E0,1.706161499E0,-1.927795410E-1,2.482869134E0
3.847961420E-1,-1.715270996E0,1.685394287E0,-1.848449707E-1,2.411820092E0
3.872070310E-1,-1.632202148E0,1.658523560E0,-1.799621582E-1,2.333917443E0
3.895874020E-1,-1.552169800E0,1.623092651E0,-1.738586426E-1,2.252529172E0
3.919677730E-1,-1.472152710E0,1.581542969E0,-1.683502197E-1,2.167222545E0
3.943786620E-1,-1.391525269E0,1.535110474E0,-1.628570557E-1,2.078323642E0
3.967590330E-1,-1.311492920E0,1.481353760E0,-1.555328369E-1,1.984593939E0
3.991394040E-1,-1.232086182E0,1.420272827E0,-1.488037109E-1,1.886094856E0
4.015502930E-1,-1.153274536E0,1.354309082E0,-1.420898438E-1,1.784484455E0
4.039306640E-1,-1.074462891E0,1.284667969E0,-1.323089600E-1,1.679984510E0
4.063110350E-1,-9.944458008E-1,1.206466675E0,-1.231384277E-1,1.568326293E0
4.087219230E-1,-9.156494141E-1,1.125839233E0,-1.103210449E-1,1.455368875E0
4.111022950E-1,-8.380584717E-1,1.041534424E0,-9.626770020E-2,1.340299753E0
4.134826660E-1,-7.598724365E-1,9.523468018E-1,-8.282470703E-2,1.221159483E0
4.158935540E-1,-6.829071045E-1,8.619384766E-1,-6.571960449E-2,1.101643825E0
4.182739250E-1,-6.034851074E-1,7.642059326E-1,-4.861450195E-2,9.749709494E-1
4.206542970E-1,-5.295715332E-1,6.658477783E-1,-2.784729004E-2,8.512195629E-1
4.230651850E-1,-4.507751465E-1,5.656738281E-1,-7.705688477E-3,7.233564060E-1
4.254455560E-1,-3.756408691E-1,4.624328613E-1,1.550292969E-2,5.959786528E-1
4.278564450E-1,-2.980499268E-1,3.598022461E-1,3.872680664E-2,4.688189210E-1
4.302673340E-1,-2.216949463E-1,2.547302246E-1,6.193542480E-2,3.433251132E-1
4.326477050E-1,-1.465606689E-1,1.472320557E-1,8.209228516E-2,2.233751355E-1
4.350280760E-1,-6.776428223E-2,4.277038574E-2,1.040802002E-1,1.313544514E-1
4.374389640E-1,8.590698242E-3,-6.047058105E-2,1.248474121E-1,1.389869331E-1
4.398193360E-1,8.494567871E-2,-1.618652344E-1,1.468505859E-1,2.344807391E-1
4.421997070E-1,1.625366211E-1,-2.620544434E-1,1.651763916E-1,3.498198462E-1
4.445800780E-1,2.407226562E-1,-3.591766357E-1,1.816711426E-1,4.689985682E-1
4.469909660E-1,3.176879883E-1,-4.538726807E-1,1.987762451E-1,5.885898944E-1
4.493713380E-1,3.946685791E-1,-5.448913574E-1,2.146606445E-1,7.062216869E-1
4.517517090E-1,4.722442627E-1,-6.304016113E-1,2.305297852E-1,8.207099470E-1
4.541625970E-1,5.510406494E-1,-7.128753662E-1,2.451934814E-1,9.337863398E-1
4.565429680E-1,6.286315918E-1,-7.910614014E-1,2.622985840E-1,1.043913965E0
4.589233390E-1,7.055969238E-1,-8.631439209E-1,2.769622803E-1,1.148735197E0
4.613342280E-1,7.850036621E-1,-9.321746826E-1,2.916259766E-1,1.253086629E0
4.637145990E-1,8.650207520E-1,-9.944763184E-1,3.044586182E-1,1.352752416E0
4.660949700E-1,9.444427490E-1,-1.052520752E0,3.179016113E-1,1.449425222E0
