"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
2.987670900E-1,-4.510498047E-2,-6.921386719E-2,-2.107238770E-2,8.525880715E-2
3.011474610E-1,-4.205322266E-2,-7.350158691E-2,-1.679992676E-2,8.633188492E-2
3.035583500E-1,-3.839111328E-2,-7.777404785E-2,-1.191711426E-2,8.754825932E-2
3.059387210E-1,-3.472900391E-2,-8.082580566E-2,-9.475708008E-3,8.847996166E-2
3.083190920E-1,-3.106689453E-2,-8.387756348E-2,-5.203247070E-3,8.959727323E-2
3.107299810E-1,-2.496337891E-2,-8.387756348E-2,-3.982543945E-3,8.760409007E-2
3.131103520E-1,-2.006530762E-2,-8.387756348E-2,-2.761840820E-3,8.628841167E-2
3.154907230E-1,-1.518249512E-2,-8.448791504E-2,-9.155273438E-4,8.584610728E-2
3.178710940E-1,-1.211547852E-2,-8.509826660E-2,1.525878906E-3,8.596992558E-2
3.202819830E-1,-7.858276367E-3,-8.815002441E-2,5.187988281E-3,8.865153430E-2
3.226623540E-1,-7.232666016E-3,-9.486389160E-2,7.019042969E-3,9.539777960E-2
3.250427250E-1,-5.416870117E-3,-1.003723145E-1,1.190185547E-2,1.012205422E-1
3.274536130E-1,-1.144409180E-3,-1.107482910E-1,1.312255859E-2,1.115288984E-1
3.298339840E-1,1.296997070E-3,-1.199188232E-1,1.374816895E-2,1.207113024E-1
3.322143560E-1,3.738403320E-3,-1.309204102E-1,1.190185547E-2,1.315134351E-1
3.346252440E-1,6.195068359E-3,-1.419219971E-1,9.460449219E-3,1.423718098E-1
3.370056150E-1,9.246826172E-3,-1.516876221E-1,8.239746094E-3,1.521924174E-1
3.393859860E-1,1.290893555E-2,-1.608428955E-1,5.798339844E-3,1.614642326E-1
3.417968750E-1,1.596069336E-2,-1.681823730E-1,3.967285156E-3,1.689845960E-1
3.441772460E-1,1.962280273E-2,-1.755065918E-1,9.155273438E-4,1.766025378E-1
3.465576170E-1,2.330017090E-2,-1.791687012E-1,-3.204345703E-4,1.806776802E-1
3.489685060E-1,2.513122559E-2,-1.816101074E-1,2.136230469E-3,1.833531377E-1
3.513488770E-1,3.001403809E-2,-1.810150146E-1,4.577636719E-3,1.835435446E-1
3.537292480E-1,3.428649902E-2,-1.822357178E-1,7.629394531E-3,1.855899472E-1
