Time,Pulses,wm,PWM,Vbus
48.30275999999999,28.0,293.2091979980469,200.0,5.000004768371582
48.35276,27.0,282.74310302734375,200.0,5.000004768371582
48.40276,27.0,282.74310302734375,200.0,5.000004768371582
48.45276299999999,27.0,282.72613525390625,200.0,5.000004768371582
48.502763,27.0,282.74310302734375,200.0,5.000004768371582
48.552768,28.0,293.18572998046875,200.0,5.000004768371582
48.602772,28.0,293.1916198730469,200.0,5.000004768371582
48.65277499999999,27.0,282.72613525390625,200.0,5.000004768371582
48.702777,27.0,282.7317810058594,200.0,5.000004768371582
48.75278,27.0,282.72613525390625,200.0,5.000004768371582
48.80278299999999,26.0,272.2547912597656,200.0,5.000004768371582
48.852785999999995,28.0,293.1974792480469,200.0,5.000004768371582
48.90279099999999,26.0,272.243896484375,200.0,5.000004768371582
48.952794999999995,27.0,282.720458984375,200.0,5.000004768371582
49.002796000000004,28.0,293.2091979980469,200.0,5.000004768371582
49.05279999999999,28.0,293.1916198730469,200.0,5.000004768371582
49.102805000000004,27.0,282.7148132324219,200.0,5.000004768371582
49.15281,27.0,282.7148132324219,200.0,5.000004768371582
49.202814000000004,26.0,272.2493591308594,200.0,5.000004768371582
49.252815,27.0,282.7374572753906,200.0,5.000004768371582
49.302819,27.0,282.720458984375,200.0,5.000004768371582
49.352823,27.0,282.720458984375,200.0,5.000004768371582
49.402823999999995,26.0,272.26568603515625,200.0,5.000004768371582
49.452828999999994,27.0,282.7148132324219,200.0,5.000004768371582
49.502831,28.0,293.2033386230469,200.0,5.000004768371582
49.552831,28.0,293.215087890625,200.0,5.000004768371582
49.602835999999996,28.0,293.18572998046875,200.0,5.000004768371582
49.65284,27.0,282.720458984375,200.0,5.000004768371582
49.702839999999995,27.0,282.74310302734375,200.0,5.000004768371582
49.752840000000006,26.0,272.2711181640625,200.0,5.000004768371582
49.80284400000001,27.0,282.720458984375,200.0,5.000004768371582
49.852845,27.0,282.7374572753906,200.0,5.000004768371582
49.902851,27.0,282.7091979980469,200.0,5.000004768371582
49.952856999999995,27.0,282.7091979980469,200.0,5.000004768371582
50.002859,27.0,282.7317810058594,200.0,5.000004768371582
50.05286100000001,27.0,282.7317810058594,200.0,5.000004768371582
50.102866000000006,27.0,282.7148132324219,200.0,5.000004768371582
50.152871000000005,28.0,293.18572998046875,200.0,5.000004768371582
50.202875000000006,28.0,293.1916198730469,200.0,5.000004768371582
50.252876,27.0,282.7374572753906,200.0,5.000004768371582
50.30288,26.0,272.2493591308594,200.0,5.000004768371582
50.352883000000006,27.0,282.72613525390625,200.0,5.000004768371582
50.402885,28.0,293.2033386230469,200.0,5.000004768371582
50.45288600000001,28.0,293.2091979980469,200.0,5.000004768371582
50.502891000000005,28.0,293.18572998046875,200.0,5.000004768371582
50.552891,28.0,293.215087890625,200.0,5.000004768371582
50.602892999999995,27.0,282.7317810058594,200.0,5.000004768371582
50.652894,26.0,272.26568603515625,200.0,5.000004768371582
50.702895999999996,28.0,293.2033386230469,200.0,5.000004768371582
50.752899,27.0,282.72613525390625,200.0,5.000004768371582
50.802901000000006,26.0,272.26025390625,200.0,5.000004768371582
50.85290500000001,27.0,282.720458984375,200.0,5.000004768371582
50.902908999999994,27.0,282.720458984375,200.0,5.000004768371582
50.952912999999995,28.0,293.1916198730469,200.0,5.000004768371582
51.002917,28.0,293.1916198730469,200.0,5.000004768371582
51.052918000000005,28.0,293.2091979980469,200.0,5.000004768371582
51.10292,28.0,293.2033386230469,200.0,5.000004768371582
51.152922000000004,27.0,282.7317810058594,220.0,5.000004768371582
51.202923,28.0,293.2091979980469,220.0,5.000004768371582
51.252922999999996,30.0,314.15899658203125,220.0,5.000004768371582
51.302925,30.0,314.1464538574219,220.0,5.000004768371582
51.35293,31.0,324.5985107421875,220.0,5.000004768371582
51.402936,30.0,314.1213073730469,220.0,5.000004768371582
51.452938,30.0,314.1464538574219,220.0,5.000004768371582
51.502939999999995,31.0,324.61798095703125,220.0,5.000004768371582
51.552944,30.0,314.1338806152344,220.0,5.000004768371582
