Time,omegax,omegay,omegaz,Absolute (rad/s)
4.068890730E-1,7.834116369E-2,-9.019159675E-1,8.105943203E-1,1.215176079E0
4.092212080E-1,7.895200700E-2,-9.298622608E-1,7.985301018E-1,1.228221302E0
4.115533440E-1,7.834116369E-2,-9.637642503E-1,7.841751575E-1,1.244953632E0
4.138855310E-1,7.864658535E-2,-1.003927469E0,7.685985565E-1,1.266806769E0
4.162176670E-1,8.047912270E-2,-1.039051175E0,7.504258752E-1,1.284228651E0
4.185498020E-1,8.460234851E-2,-1.075549364E0,7.311841846E-1,1.303301310E0
4.208819900E-1,9.009996802E-2,-1.107313395E0,7.119424939E-1,1.319516227E0
4.232141250E-1,9.437590092E-2,-1.140146375E0,6.951441765E-1,1.338680691E0
4.255463120E-1,1.012479365E-1,-1.169314384E0,6.781931520E-1,1.355541672E0
4.278784480E-1,1.079672500E-1,-1.197413325E0,6.613948941E-1,1.372187598E0
4.302105830E-1,1.136175916E-1,-1.221847177E0,6.481089592E-1,1.387755275E0
4.325427710E-1,1.218640283E-1,-1.245059371E0,6.372663975E-1,1.403970135E0
4.348749060E-1,1.325538605E-1,-1.268271565E0,6.265766025E-1,1.420803128E0
4.372070420E-1,1.408002973E-1,-1.286597013E0,6.181774139E-1,1.434329081E0
4.395392290E-1,1.476723254E-1,-1.307365894E0,6.146650314E-1,1.452179671E0
4.418713650E-1,1.560714692E-1,-1.325691223E0,6.111527085E-1,1.468101889E0
4.442035000E-1,1.629435122E-1,-1.346460104E0,6.100836992E-1,1.487181065E0
4.465356870E-1,1.724116355E-1,-1.367228866E0,6.090146899E-1,1.506631818E0
4.488678230E-1,1.782146841E-1,-1.387844920E0,6.103891134E-1,1.526580776E0
4.511999580E-1,1.852394342E-1,-1.406170368E0,6.131379604E-1,1.545175366E0
4.535321460E-1,1.921114624E-1,-1.429382563E0,6.157340407E-1,1.568174012E0
4.558642810E-1,1.991362125E-1,-1.449998736E0,6.158867478E-1,1.587913112E0
4.581964170E-1,2.047865391E-1,-1.473210931E0,6.160394549E-1,1.609904526E0
4.605286040E-1,2.078407854E-1,-1.501004457E0,6.200099587E-1,1.637261287E0
4.628607400E-1,2.108950168E-1,-1.533837438E0,6.213843822E-1,1.668308288E0
4.651929270E-1,2.087570578E-1,-1.579803705E0,6.229115129E-1,1.710958214E0
4.675250620E-1,2.002051920E-1,-1.635390878E0,6.221479177E-1,1.761151178E0
4.698571980E-1,1.916533262E-1,-1.687312841E0,6.200099587E-1,1.807807504E0
4.721893330E-1,1.882936656E-1,-1.724879980E0,6.142069101E-1,1.840629126E0
4.745215210E-1,1.840177327E-1,-1.752673507E0,6.058077812E-1,1.863526231E0
4.768536560E-1,1.837123185E-1,-1.768402815E0,5.913001299E-1,1.873668747E0
4.791857920E-1,1.858502775E-1,-1.784284830E0,5.790832043E-1,1.885086215E0
4.815179790E-1,1.856975704E-1,-1.792836666E0,5.609105229E-1,1.887688405E0
4.838501150E-1,1.904316396E-1,-1.806275368E0,5.439594984E-1,1.895992313E0
4.861823020E-1,1.939440072E-1,-1.817270637E0,5.256340504E-1,1.901677680E0
4.885144370E-1,2.060082406E-1,-1.826127887E0,5.086830258E-1,1.906814326E0
4.908465730E-1,2.182251811E-1,-1.832389116E0,4.941754341E-1,1.910361605E0
4.931787600E-1,2.316638231E-1,-1.841246367E0,4.795151055E-1,1.916713605E0
4.955108960E-1,2.472404242E-1,-1.863389611E0,4.663818777E-1,1.936713899E0
4.978430310E-1,2.599155009E-1,-1.909661293E0,4.544703662E-1,1.980127682E0
5.001752190E-1,2.695363462E-1,-1.981435776E0,4.477510452E-1,2.049199496E0
5.025073540E-1,2.803788781E-1,-2.055500984E0,4.337015450E-1,2.119385204E0
5.048394900E-1,2.913741469E-1,-2.118723631E0,4.182776511E-1,2.179184460E0
5.071716770E-1,3.052709103E-1,-2.165148020E0,4.028537571E-1,2.223363989E0
5.095038120E-1,3.168770075E-1,-2.196912050E0,3.836120665E-1,2.252552288E0
5.118359480E-1,3.338280320E-1,-2.214321375E0,3.642176688E-1,2.268769450E0
5.141681350E-1,3.474193811E-1,-2.220582485E0,3.446705639E-1,2.273869961E0
5.165002710E-1,3.584146202E-1,-2.223331213E0,3.264978528E-1,2.275579832E0
5.188324060E-1,3.704788685E-1,-2.239366055E0,3.119902313E-1,2.291146617E0
5.211645940E-1,3.788780272E-1,-2.249292374E0,2.950392365E-1,2.299981064E0
5.234967290E-1,3.874298632E-1,-2.255553484E0,2.816005945E-1,2.305845249E0
5.258288650E-1,3.959817290E-1,-2.259371281E0,2.719797492E-1,2.309877291E0
5.281610520E-1,3.972034156E-1,-2.261814594E0,2.658712566E-1,2.311766281E0
5.304931870E-1,3.994941115E-1,-2.267923117E0,2.622061968E-1,2.317719331E0
5.328253750E-1,3.944546282E-1,-2.272657156E0,2.622061968E-1,2.321490274E0
5.351575100E-1,3.918585181E-1,-2.278765678E0,2.658712566E-1,2.327447881E0
5.374896460E-1,3.868190348E-1,-2.282278061E0,2.732014358E-1,2.330892777E0
5.398217810E-1,3.793361485E-1,-2.284415960E0,2.829749882E-1,2.332922424E0
5.421539690E-1,3.742966652E-1,-2.289150000E0,2.915268540E-1,2.337796745E0
5.444861040E-1,3.654393852E-1,-2.302283287E0,3.038965166E-1,2.350831208E0
5.468182920E-1,3.552076817E-1,-2.317859888E0,3.161134422E-1,2.366130737E0
5.491504270E-1,3.463504016E-1,-2.329618692E0,3.297048211E-1,2.378189883E0
5.514825620E-1,3.397837877E-1,-2.342904568E0,3.455868363E-1,2.392506029E0
5.538147500E-1,3.345915973E-1,-2.354816198E0,3.626905680E-1,2.405962450E0
5.561468850E-1,3.281776905E-1,-2.370392799E0,3.775036037E-1,2.422596044E0
5.584790210E-1,3.225273490E-1,-2.400476933E0,3.923166394E-1,2.453614831E0
5.608112080E-1,3.142809272E-1,-2.439113140E0,4.060607255E-1,2.492575119E0
5.631433440E-1,3.084778786E-1,-2.478818178E0,4.210264683E-1,2.533172211E0
5.654754790E-1,3.075616062E-1,-2.521119356E0,4.347705245E-1,2.576754229E0
5.678076670E-1,3.064926267E-1,-2.570903301E0,4.472928941E-1,2.627461217E0
5.701398020E-1,3.054236174E-1,-2.624199867E0,4.598152637E-1,2.681629841E0
5.724719370E-1,3.031329513E-1,-2.677343607E0,4.737120569E-1,2.735774386E0
5.748041250E-1,3.043546379E-1,-2.731861591E0,4.862344265E-1,2.791437518E0
5.771362600E-1,3.081724346E-1,-2.785158157E0,4.989095032E-1,2.846223270E0
5.794683960E-1,3.132119179E-1,-2.843341351E0,5.128062963E-1,2.906142123E0
5.818005830E-1,3.144336343E-1,-2.899080992E0,5.267030597E-1,2.963267659E0
5.841327190E-1,3.206948042E-1,-2.954820871E0,5.453338623E-1,3.021787643E0
5.864648540E-1,3.307738006E-1,-3.002161503E0,5.628957748E-1,3.072334072E0
5.887970420E-1,3.446705639E-1,-3.045989752E0,5.827482939E-1,3.120328018E0
5.911291770E-1,3.610107303E-1,-3.088596344E0,6.051968932E-1,3.167967709E0
5.934613120E-1,3.825430870E-1,-3.126468897E0,6.250494719E-1,3.211204419E0
5.957935000E-1,4.065188468E-1,-3.160829067E0,6.461237073E-1,3.251703217E0
5.981256350E-1,4.329380095E-1,-3.197479963E0,6.710157394E-1,3.295690452E0
6.004577710E-1,4.605788291E-1,-3.235505104E0,6.920899153E-1,3.340600932E0
6.027899580E-1,4.920374751E-1,-3.265131235E0,7.119424939E-1,3.377875808E0
6.051220940E-1,5.273138881E-1,-3.292314053E0,7.295043468E-1,3.413146400E0
6.074542810E-1,5.613686442E-1,-3.314610004E0,7.469134927E-1,3.443784837E0
6.097864170E-1,6.006155610E-1,-3.331102848E0,7.592831254E-1,3.468932992E0
6.121185520E-1,6.410841942E-1,-3.342708826E0,7.705838084E-1,3.489769426E0
6.144506870E-1,6.830799580E-1,-3.349581003E0,7.792884111E-1,3.506220409E0
6.167828750E-1,7.235485911E-1,-3.357522011E0,7.844805717E-1,3.523050721E0
6.191150100E-1,7.656970620E-1,-3.358285427E0,7.858549953E-1,3.532979065E0
6.214471980E-1,8.066238165E-1,-3.350649834E0,7.846332788E-1,3.534564425E0
6.237793330E-1,8.451071978E-1,-3.342861652E0,7.811209559E-1,3.535403817E0
6.261114690E-1,8.835905790E-1,-3.330186605E0,7.713474035E-1,3.530701340E0
6.284436560E-1,9.199360013E-1,-3.311555624E0,7.617265582E-1,3.520356551E0
6.307757920E-1,9.527690411E-1,-3.277042866E0,7.505785823E-1,3.494302076E0
6.331079270E-1,9.820896983E-1,-3.232909203E0,7.368345261E-1,3.458197103E0
6.354401150E-1,1.007897973E0,-3.181292534E0,7.244648337E-1,3.414868929E0
6.377722500E-1,1.032637239E0,-3.120055199E0,7.105680704E-1,3.362438266E0
6.401043850E-1,1.052489877E0,-3.059886694E0,7.004891038E-1,3.310789408E0
6.424365730E-1,1.069746256E0,-3.002161503E0,6.904101372E-1,3.260980972E0
6.447687080E-1,1.080741525E0,-2.953904629E0,6.827745438E-1,3.218654358E0
6.471008440E-1,1.085170150E0,-2.920002699E0,6.751389503E-1,3.187447665E0
6.494330310E-1,1.085475564E0,-2.900760889E0,6.688777208E-1,3.168606688E0
6.517651670E-1,1.078145385E0,-2.896943092E0,6.652126908E-1,3.161832487E0
6.540973020E-1,1.066844702E0,-2.907633066E0,6.615476012E-1,3.167038505E0
6.564294900E-1,1.047908425E0,-2.929165363E0,6.592568755E-1,3.180053682E0
6.587486040E-1,1.027445078E0,-2.960318565E0,6.581879258E-1,3.201927660E0
6.610937600E-1,1.009425044E0,-2.996205807E0,6.546755433E-1,3.228744063E0
6.634259480E-1,9.914051294E-1,-3.027511835E0,6.511631608E-1,3.251572774E0
6.657580830E-1,9.759812355E-1,-3.059886694E0,6.476507783E-1,3.276415340E0
6.680902190E-1,9.578084946E-1,-3.094704866E0,6.429167390E-1,3.302716648E0
6.704224060E-1,9.436063170E-1,-3.127079725E0,6.381826997E-1,3.328107217E0
6.727545420E-1,9.281824231E-1,-3.153498888E0,6.322268844E-1,3.347504844E0
6.750867290E-1,9.203941226E-1,-3.173962355E0,6.213843822E-1,3.362630060E0
6.774188650E-1,9.127585292E-1,-3.183583260E0,6.152759194E-1,3.368515246E0
6.797510000E-1,9.054283500E-1,-3.182208776E0,6.067240238E-1,3.363683581E0
6.820831870E-1,9.029849768E-1,-3.175031424E0,5.981721878E-1,3.354700639E0
6.844153230E-1,8.973346353E-1,-3.153193474E0,5.858024955E-1,3.330315765E0
6.867474580E-1,8.955020905E-1,-3.124025583E0,5.745018721E-1,3.300229119E0
6.890796460E-1,8.951966763E-1,-3.079281092E0,5.570927262E-1,3.254796681E0
6.914117810E-1,8.913788795E-1,-3.023541212E0,5.407525301E-1,3.198244998E0
6.937439170E-1,8.892409205E-1,-2.955737114E0,5.219689608E-1,3.130428549E0
6.960761040E-1,8.834378719E-1,-2.876937866E0,5.030327439E-1,3.051274472E0
6.984082400E-1,8.791618943E-1,-2.787296057E0,4.816530645E-1,2.962082818E0
7.007403750E-1,8.788564801E-1,-2.686964273E0,4.613423944E-1,2.864437558E0
7.030725620E-1,8.761076927E-1,-2.577928066E0,4.398100376E-1,2.758026590E0
7.054046980E-1,8.736643195E-1,-2.460340023E0,4.193466306E-1,2.644317297E0
7.077368330E-1,8.715263009E-1,-2.333131075E0,3.988832533E-1,2.522333554E0
7.100690210E-1,8.680139780E-1,-2.201035500E0,3.771981895E-1,2.395888981E0
7.124011560E-1,8.635852933E-1,-2.065427303E0,3.553603888E-1,2.266726827E0
7.147332920E-1,8.579349518E-1,-1.923710704E0,3.347443044E-1,2.132784331E0
7.170654790E-1,8.486195803E-1,-1.776954651E0,3.116848171E-1,1.993707714E0
7.193976150E-1,8.380824327E-1,-1.632794738E0,2.898470163E-1,1.858066768E0
7.217297500E-1,8.276980519E-1,-1.481151938E0,2.692309320E-1,1.717958214E0
7.240619370E-1,8.122741580E-1,-1.334395885E0,2.472404242E-1,1.581622431E0
7.263940730E-1,7.918107510E-1,-1.189930439E0,2.266243398E-1,1.447154901E0
7.287262080E-1,7.725690603E-1,-1.046686769E0,2.072299272E-1,1.317330781E0
7.310583960E-1,7.534800768E-1,-8.999307156E-1,1.901262105E-1,1.189014506E0
7.333905310E-1,7.307260633E-1,-7.518002391E-1,1.682884246E-1,1.061831047E0
